Id,GeoFips,Metro name,2014 lower income share,2014 middle income share,2014 upper income share,2000 to 2014 lower income change,2000 to 2014 middle income change,2000 to 2014 upper income change
72,23540,"Gainesville, FL",35.64,47.20,17.16,-3.55,0.63,2.92
73,23580,"Gainesville, GA",28.11,54.08,17.81,3.91,-4.12,0.20
74,24020,"Glens Falls, NY",27.24,58.13,14.63,0.19,-3.25,3.06
75,24140,"Goldsboro, NC",40.88,47.76,11.36,13.69,-11.88,-1.81
76,24300,"Grand Junction, CO",28.01,52.03,19.96,-1.88,-6.77,8.65
77,24340,"Grand Rapids-Wyoming, MI",24.79,56.79,18.42,6.82,-6.00,-0.82
78,24660,"Greensboro-High Point, NC",31.25,52.83,15.92,7.19,-5.96,-1.22
79,24780,"Greenville, NC",39.41,46.26,14.33,5.16,-4.21,-0.95
80,24860,"Greenville-Anderson-Mauldin, SC",33.36,50.20,16.43,6.86,-6.92,0.05
81,25060,"Gulfport-Biloxi-Pascagoula, MS",33.52,53.74,12.74,4.72,-5.34,0.62
82,25260,"Hanford-Corcoran, CA",39.16,49.07,11.77,-2.07,1.38,0.69
83,25420,"Harrisburg-Carlisle, PA",21.30,57.65,21.05,0.03,-3.12,3.09
84,25540,"Hartford-West Hartford-East Hartford, CT",20.96,49.30,29.73,2.08,-6.40,4.31
85,25860,"Hickory-Lenoir-Morganton, NC",35.24,54.34,10.42,10.61,-8.09,-2.53
86,25940,"Hilton Head Island-Bluffton-Beaufort, SC",23.06,56.05,20.89,-3.69,5.40,-1.71
87,26380,"Houma-Thibodaux, LA",32.45,52.64,14.91,-2.13,-2.82,4.95
88,26420,"Houston-The Woodlands-Sugar Land, TX",28.48,48.53,22.99,-0.99,-2.58,3.57
89,26620,"Huntsville, AL",25.49,50.12,24.39,2.41,-3.98,1.58
90,26900,"Indianapolis-Carmel-Anderson, IN",24.42,54.81,20.78,4.53,-4.06,-0.46
91,27100,"Jackson, MI",30.28,56.40,13.33,10.36,-6.26,-4.10
92,27180,"Jackson, TN",29.21,55.33,15.46,2.63,0.85,-3.47
93,27260,"Jacksonville, FL",28.18,52.91,18.92,3.87,-5.49,1.62
94,27500,"Janesville-Beloit, WI",19.45,65.15,15.40,2.35,0.00,-2.35
95,27780,"Johnstown, PA",25.22,55.98,18.80,-3.72,-3.35,7.08
96,27900,"Joplin, MO",30.25,56.75,13.00,-0.38,-3.00,3.38
97,28020,"Kalamazoo-Portage, MI",31.03,52.50,16.47,6.52,-5.76,-0.75
98,28100,"Kankakee, IL",23.28,62.11,14.61,-4.05,2.15,1.91
99,28140,"Kansas City, MO-KS",23.00,54.84,22.16,4.55,-4.07,-0.48
100,28940,"Knoxville, TN",32.48,50.05,17.47,2.11,-4.34,2.23
101,29180,"Lafayette, LA",28.16,49.76,22.08,-5.62,-2.12,7.73
102,29420,"Lake Havasu City-Kingman, AZ",42.63,47.56,9.81,4.15,-5.64,1.48
103,29460,"Lakeland-Winter Haven, FL",33.51,55.21,11.27,3.18,-2.89,-0.30
104,29540,"Lancaster, PA",24.12,57.03,18.84,3.31,-7.09,3.77
105,29620,"Lansing-East Lansing, MI",28.36,55.08,16.56,4.87,-2.26,-2.61
106,29700,"Laredo, TX",46.94,44.20,8.86,-3.91,3.98,-0.07
107,29740,"Las Cruces, NM",45.26,45.49,9.25,0.08,-0.04,-0.04
108,29820,"Las Vegas-Henderson-Paradise, NV",29.04,55.93,15.04,4.47,-3.72,-0.74
109,30140,"Lebanon, PA",21.22,62.84,15.94,-2.58,1.01,1.58
110,30340,"Lewiston-Auburn, ME",25.63,53.23,21.13,-2.45,-7.93,10.37
111,30700,"Lincoln, NE",23.93,56.05,20.02,3.40,-4.96,1.56
112,30780,"Little Rock-North Little Rock-Conway, AR",26.94,55.41,17.64,1.26,-1.71,0.43
113,31080,"Los Angeles-Long Beach-Anaheim, CA",37.21,46.52,16.27,-0.08,-0.73,0.81
114,31140,"Louisville/Jefferson County, KY-IN",25.38,54.11,20.52,2.55,-4.11,1.57
115,31180,"Lubbock, TX",33.62,51.78,14.59,-1.56,0.26,1.29
116,31340,"Lynchburg, VA",29.07,54.89,16.03,3.13,-3.83,0.69
117,31460,"Madera, CA",38.50,51.27,10.23,-4.01,4.35,-0.34
118,31700,"Manchester-Nashua, NH",21.15,56.15,22.71,0.91,-5.69,4.79
119,31900,"Mansfield, OH",32.57,54.37,13.07,8.86,-7.16,-1.68
120,32580,"McAllen-Edinburg-Mission, TX",46.08,44.99,8.93,-7.36,6.35,1.01
121,32780,"Medford, OR",33.81,53.37,12.83,4.21,-3.24,-0.97
122,32820,"Memphis, TN-MS-AR",31.81,49.54,18.65,3.82,-4.63,0.81
123,32900,"Merced, CA",43.04,47.44,9.52,1.12,-0.31,-0.81
124,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",36.67,48.50,14.83,3.08,-2.49,-0.59
125,33140,"Michigan City-La Porte, IN",27.11,56.95,15.94,8.82,-6.21,-2.61
126,33260,"Midland, TX",20.65,42.60,36.75,-7.58,-10.70,18.28
127,33340,"Milwaukee-Waukesha-West Allis, WI",25.48,52.57,21.95,5.72,-6.37,0.65
128,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",20.08,54.56,25.36,3.68,-6.46,2.78
129,33660,"Mobile, AL",30.73,53.25,16.03,-1.32,-0.33,1.66
130,33700,"Modesto, CA",36.49,49.39,14.12,2.66,-4.69,2.03
131,33740,"Monroe, LA",38.67,41.82,19.51,4.76,-8.89,4.14
132,33780,"Monroe, MI",23.98,58.11,17.92,5.81,-2.96,-2.84
133,33860,"Montgomery, AL",30.51,50.69,18.81,3.05,-3.94,0.90
134,34060,"Morgantown, WV",37.67,46.04,16.28,0.81,-3.77,2.95
135,34620,"Muncie, IN",33.98,52.95,13.06,2.32,-1.31,-1.02
136,34740,"Muskegon, MI",31.45,56.14,12.40,6.13,-3.91,-2.23
137,34900,"Napa, CA",25.09,51.46,23.45,-1.46,-5.15,6.62
138,34940,"Naples-Immokalee-Marco Island, FL",26.72,51.49,21.79,5.13,-1.96,-3.18
139,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",26.52,53.69,19.79,4.53,-5.10,0.57
140,35300,"New Haven-Milford, CT",27.71,49.96,22.33,1.75,-7.89,6.14
141,35380,"New Orleans-Metairie, LA",30.30,49.15,20.55,-5.29,-2.07,7.36
142,35620,"New York-Newark-Jersey City, NY-NJ-PA",30.92,48.05,21.03,-0.05,-2.68,2.73
143,35660,"Niles-Benton Harbor, MI",31.59,46.38,22.03,6.14,-11.88,5.74
144,35840,"North Port-Sarasota-Bradenton, FL",26.55,54.03,19.41,1.86,-3.46,1.60
145,35980,"Norwich-New London, CT",18.55,52.80,28.65,0.60,-8.43,7.83
146,36100,"Ocala, FL",31.50,55.75,12.76,-2.41,-0.70,3.12
147,36140,"Ocean City, NJ",28.55,52.77,18.69,-2.94,-0.41,3.36
148,36220,"Odessa, TX",24.23,54.78,20.98,-14.67,3.15,11.51
149,36260,"Ogden-Clearfield, UT",18.91,62.59,18.50,0.44,-2.05,1.61
150,36420,"Oklahoma City, OK",26.51,52.88,20.61,-2.35,-3.28,5.63
151,36500,"Olympia-Tumwater, WA",22.56,55.96,21.48,-0.73,-5.81,6.53
152,36540,"Omaha-Council Bluffs, NE-IA",21.85,55.98,22.17,1.34,-6.28,4.94
153,36740,"Orlando-Kissimmee-Sanford, FL",32.67,51.60,15.73,6.09,-6.83,0.75
154,36980,"Owensboro, KY",27.73,58.51,13.76,2.42,0.27,-2.69
155,37100,"Oxnard-Thousand Oaks-Ventura, CA",26.44,53.15,20.41,3.03,-3.13,0.10
156,37340,"Palm Bay-Melbourne-Titusville, FL",27.12,56.26,16.62,1.01,-2.44,1.43
157,37860,"Pensacola-Ferry Pass-Brent, FL",26.11,57.37,16.52,-3.91,1.48,2.43
158,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",26.95,50.64,22.40,1.55,-5.50,3.94
